Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
Naruto Manga lot vol 1-22 Masashi Kishimoto English Viz OOP,104.99,"Mar 1, 2025",22,4.77,Lot,Title,https://www.ebay.com/itm/225020345816
Naruto Shonen Jump Manga Lot 1-7 English Graphic Novel Masashi Kishimoto,30.00,"Feb 28, 2025",7,4.29,Lot,Title,https://www.ebay.com/itm/167336160203
Lot of 6 - Naruto Shonen Jump Manga English - Vol: 5  55 62 67 71 72,24.99,"Feb 26, 2025",7,3.57,Lot,Title,https://www.ebay.com/itm/116486559756
Naruto Series Set Manga Book Lot of 62 English Volumes Shonen Jump 1-57 !!!!+5,199.00,"Feb 25, 2025",58,3.43,Lot,Title,https://www.ebay.com/itm/356305082580
Naruto Volume by 64 Masashi Kishimoto English Manga Viz Media,12.88,"Feb 24, 2025",1,12.88,Single,Title,https://www.ebay.com/itm/135286872382
Naruto Complete Manga Box Set 1-3 Vol 1-74 ENGLISH,400.00,"Feb 23, 2025",74,5.41,Lot,Title,https://www.ebay.com/itm/316247324326
Naruto Full English Manga Set (Vol 1- 72 + The Seventh Hokage Volume),380.00,"Feb 22, 2025",72,5.28,Lot,Title,https://www.ebay.com/itm/326422841195
Naruto Manga Box Set 1 Volumes 1-27 with Premium Brand New In English Viz Media,150.00,"Feb 22, 2025",27,5.56,Lot,Title,https://www.ebay.com/itm/396214658901
"Naruto Manga COMPLETE Collection, 3 Boxed Sets 1-72, in English, + Bonus Books",280.00,"Feb 20, 2025",72,3.89,Lot,Title,https://www.ebay.com/itm/375994254182
Naruto Masashi Kishimoto Shonen Jump Manga English Lot 18 Paperbacks Mixed,27.00,"Feb 18, 2025",1,27.00,Single,Title,https://www.ebay.com/itm/226506907203
naruto manga english 1-72 (manga Only ),300.00,"Feb 17, 2025",72,4.17,Lot,Title,https://www.ebay.com/itm/356554038395
"Naruto Manga Lot Vol 10, 11 Viz Masashi Kishimoto Shonen Jump English",6.99,"Feb 15, 2025",2,3.50,Lot,Title,https://www.ebay.com/itm/186909535998
Naruto Shonen Jump Manga Lot 1-10 English Graphic Novel Masashi Kishimoto,29.99,"Feb 14, 2025",10,3.00,Lot,Title,https://www.ebay.com/itm/167312734858
Naruto (Vol. 65 & 68) English Manga Graphic Novels Brand New,22.00,"Feb 12, 2025",2,11.00,Lot,Title,https://www.ebay.com/itm/276863405631
Naruto Full English Manga Set (Vol 1- 72 ) Complete Run,399.99,"Feb 13, 2025",72,5.56,Lot,Title,https://www.ebay.com/itm/396173035414
"Naruto Shonen Jump Manga English Lot of 10 Books - Vol: 2 - 4, 6 - 10, 26, Kakas",25.00,"Feb 12, 2025",9,2.78,Lot,Title,https://www.ebay.com/itm/405542547001
"Boruto: Naruto Next Generations Lot of 8 Manga Volumes 3-6, 8-11 English Viz",39.95,"Feb 11, 2025",8,4.99,Lot,Title,https://www.ebay.com/itm/205241464869
Boruto Naruto Next Generations English Manga Volumes 1-12,39.99,"Feb 9, 2025",12,3.33,Lot,Title,https://www.ebay.com/itm/326408789498
Naruto Manga Volumes 64-72 English Masashi Kishimoto Shonen Jump,60.00,"Feb 9, 2025",9,6.67,Lot,Title,https://www.ebay.com/itm/396110214892
BORUTO Naruto Next Generation Comic Manga Vol 1-15 Set English Ver,95.00,"Feb 8, 2025",15,6.33,Lot,Title,https://www.ebay.com/itm/186930908739
Naruto Shonen Jump Manga Lot Volume 1-10 English Graphic Novel Masashi Kishimoto,50.00,"Feb 9, 2025",10,5.00,Lot,Title,https://www.ebay.com/itm/375866831419
Naruto Manga Part 1 Complete Set Volumes 1-27 In English - Read description,95.50,"Feb 7, 2025",27,3.54,Lot,Title,https://www.ebay.com/itm/186930931075
"Naruto Full English Manga Near Complete Set (Vol 1- 72)  Missing 30,31,32,33, 71",164.95,"Feb 8, 2025",72,2.29,Lot,Title,https://www.ebay.com/itm/256809386422
Naruto English Manga Vol 28-72 + light novels And Extra,145.00,"Feb 7, 2025",45,3.22,Lot,Title,https://www.ebay.com/itm/186930949916
Boruto Naruto Next Generations - Manga Vol. 1-12 English,15.50,"Feb 6, 2025",12,1.29,Lot,Title,https://www.ebay.com/itm/267144595918
Boruto Naruto Next Generations English Manga Lot Volumes 1-13 - LIBRARY COPIES,26.00,"Feb 6, 2025",13,2.00,Lot,Title,https://www.ebay.com/itm/116411212786
"Naruto Manga COMPLETE Collection, 3 Boxed Sets 1-72, in English, + Bonus Books",320.00,"Feb 5, 2025",72,4.44,Lot,Title,https://www.ebay.com/itm/405519979388
Naruto: Chibi Sasuke's Sharingan Legend Manga vol 1-3  English Graphic Novel,24.99,"Feb 5, 2025",3,8.33,Lot,Title,https://www.ebay.com/itm/326286553568
Naruto Manga Set vol 1 - 45 English Viz Media,150.00,"Feb 5, 2025",45,3.33,Lot,Title,https://www.ebay.com/itm/356525701747
Naruto Complete Manga Box Set 1-3 Vol 1-74 ENGLISH,350.00,"Feb 4, 2025",74,4.73,Lot,Title,https://www.ebay.com/itm/335793698575
Naruto Masashi Kishimoto Shonen Jump Manga English Lot of 7 Books,24.88,"Feb 2, 2025",1,24.88,Single,Title,https://www.ebay.com/itm/296805595886
Naruto Box Set 3: Volumes 49-72 with Premium Manga English,100.00,"Feb 1, 2025",25,4.00,Lot,Title,https://www.ebay.com/itm/396167399315
Naruto Box Set 3: Volumes 49-72 with Premium Manga English,100.00,"Feb 1, 2025",25,4.00,Lot,Title,https://www.ebay.com/itm/396156588274
Shonen Jump Naruto Manga Collection Volume 1-53 Set English Book Lot,199.99,"Feb 1, 2025",53,3.77,Lot,Title,https://www.ebay.com/itm/146330419604
"Naruto English manga Lot Vol 1-27 (No 10 Or 26), + 55 Kishimoto Softcover Shonen",50.00,"Jan 31, 2025",28,1.79,Lot,Title,https://www.ebay.com/itm/387877987830
Lot of 14 Naruto Manga Vol 33-46 English First Print. Graphic Novels Shonen Jump,53.99,"Jan 31, 2025",15,3.60,Lot,Title,https://www.ebay.com/itm/387814718705
LOT of 32 English Manga Naruto Black Butler Tenshi Ja Nai Vampire Knight Saikano,41.00,"Jan 30, 2025",1,41.00,Single,Title,https://www.ebay.com/itm/235925993085
"Naruto English manga Lot Vol 1-27 (No 10 Or 26), + 55 Kishimoto Softcover Shonen",50.00,"Jan 30, 2025",28,1.79,Lot,Title,https://www.ebay.com/itm/387871646749
Lot of Naruto Books  Volumes 1-11 Masashi Kishimoto English Manga Comic Book,39.99,"Jan 30, 2025",11,3.64,Lot,Title,https://www.ebay.com/itm/276812208325
Naruto Vol 17 Ex Library Used English Manga Graphic Novel Comic Book,6.99,"Jan 29, 2025",1,6.99,Single,Title,https://www.ebay.com/itm/315918701717
Boruto: Naruto Next Generations - Vol. 6-18 English Manga Lot Ex-Library,35.00,"Jan 28, 2025",13,2.69,Lot,Title,https://www.ebay.com/itm/176805621618
Boruto Naruto Next Generations 1-14 Missing #3 English Manga Viz Media,69.99,"Jan 27, 2025",14,5.00,Lot,Title,https://www.ebay.com/itm/126838354553
Naruto Shonen Jump Manga English Book Lot 3 18 20 21 22 23 24 26 27 42 43 44 +,39.95,"Jan 27, 2025",12,3.33,Lot,Title,https://www.ebay.com/itm/326377979157
Random English manga Book lot Of 15 Pokémon Naruto,18.90,"Jan 27, 2025",1,18.90,Single,Title,https://www.ebay.com/itm/285675224025
Naruto Manga Box Set 2 (Vol. 28-48) English Paperback [READ DESCRIPTION],100.00,"Jan 25, 2025",22,4.55,Lot,Title,https://www.ebay.com/itm/396144106545
Naruto Masashi Kishimoto  Lot 21-30 English Manga Jump Comics X Library,20.98,"Jan 24, 2025",10,2.10,Lot,Title,https://www.ebay.com/itm/196951343736
Naruto Manga COMPLETE COLLECTION English - Volumes 1-72,385.00,"Jan 24, 2025",72,5.35,Lot,Title,https://www.ebay.com/itm/176660255030
Naruto Masashi Kishimoto  Lot 11-20 English Manga Jump Comics X Library,20.98,"Jan 24, 2025",10,2.10,Lot,Title,https://www.ebay.com/itm/196951325551
Naruto's & Sasuke's Story English Manga Lot Of 2 by Masashi Kishimoto,10.00,"Jan 22, 2025",1,10.00,Single,Title,https://www.ebay.com/itm/316143966314
Naruto English Manga Part 1 Complete Set Volumes 1-27,140.00,"Jan 22, 2025",27,5.19,Lot,Title,https://www.ebay.com/itm/356467757410
Naruto Manga Paperback Lot #16-20 Masashi Kishimoto Shonen Jump English books,15.99,"Jan 21, 2025",5,3.20,Lot,Title,https://www.ebay.com/itm/116437597273
Naruto Box Set 3: Volumes 49-72 with Premium Manga English,100.00,"Feb 1, 2025",25,4.00,Lot,Title,https://www.ebay.com/itm/396167399315
Naruto Box Set 3: Volumes 49-72 with Premium Manga English,100.00,"Feb 1, 2025",25,4.00,Lot,Title,https://www.ebay.com/itm/396156588274
Shonen Jump Naruto Manga Collection Volume 1-53 Set English Book Lot,199.99,"Feb 1, 2025",53,3.77,Lot,Title,https://www.ebay.com/itm/146330419604
"Naruto English manga Lot Vol 1-27 (No 10 Or 26), + 55 Kishimoto Softcover Shonen",50.00,"Jan 31, 2025",28,1.79,Lot,Title,https://www.ebay.com/itm/387877987830
Lot of 14 Naruto Manga Vol 33-46 English First Print. Graphic Novels Shonen Jump,53.99,"Jan 31, 2025",15,3.60,Lot,Title,https://www.ebay.com/itm/387814718705
LOT of 32 English Manga Naruto Black Butler Tenshi Ja Nai Vampire Knight Saikano,41.00,"Jan 30, 2025",1,41.00,Single,Title,https://www.ebay.com/itm/235925993085
"Naruto English manga Lot Vol 1-27 (No 10 Or 26), + 55 Kishimoto Softcover Shonen",50.00,"Jan 30, 2025",28,1.79,Lot,Title,https://www.ebay.com/itm/387871646749
Lot of Naruto Books  Volumes 1-11 Masashi Kishimoto English Manga Comic Book,39.99,"Jan 30, 2025",11,3.64,Lot,Title,https://www.ebay.com/itm/276812208325
Naruto Vol 17 Ex Library Used English Manga Graphic Novel Comic Book,6.99,"Jan 29, 2025",1,6.99,Single,Title,https://www.ebay.com/itm/315918701717
Boruto: Naruto Next Generations - Vol. 6-18 English Manga Lot Ex-Library,35.00,"Jan 28, 2025",13,2.69,Lot,Title,https://www.ebay.com/itm/176805621618
Boruto Naruto Next Generations 1-14 Missing #3 English Manga Viz Media,69.99,"Jan 27, 2025",14,5.00,Lot,Title,https://www.ebay.com/itm/126838354553
Naruto Shonen Jump Manga English Book Lot 3 18 20 21 22 23 24 26 27 42 43 44 +,39.95,"Jan 27, 2025",12,3.33,Lot,Title,https://www.ebay.com/itm/326377979157
Random English manga Book lot Of 15 Pokémon Naruto,18.90,"Jan 27, 2025",1,18.90,Single,Title,https://www.ebay.com/itm/285675224025
Naruto Manga Box Set 2 (Vol. 28-48) English Paperback [READ DESCRIPTION],100.00,"Jan 25, 2025",22,4.55,Lot,Title,https://www.ebay.com/itm/396144106545
Naruto Masashi Kishimoto  Lot 21-30 English Manga Jump Comics X Library,20.98,"Jan 24, 2025",10,2.10,Lot,Title,https://www.ebay.com/itm/196951343736
Naruto Manga COMPLETE COLLECTION English - Volumes 1-72,385.00,"Jan 24, 2025",72,5.35,Lot,Title,https://www.ebay.com/itm/176660255030
Naruto Masashi Kishimoto  Lot 11-20 English Manga Jump Comics X Library,20.98,"Jan 24, 2025",10,2.10,Lot,Title,https://www.ebay.com/itm/196951325551
Naruto's & Sasuke's Story English Manga Lot Of 2 by Masashi Kishimoto,10.00,"Jan 22, 2025",1,10.00,Single,Title,https://www.ebay.com/itm/316143966314
Naruto English Manga Part 1 Complete Set Volumes 1-27,140.00,"Jan 22, 2025",27,5.19,Lot,Title,https://www.ebay.com/itm/356467757410
Naruto Manga Paperback Lot #16-20 Masashi Kishimoto Shonen Jump English books,15.99,"Jan 21, 2025",5,3.20,Lot,Title,https://www.ebay.com/itm/116437597273
